ticker,days vs spy,alpha vs spy,beta vs spy,days vs vgt,alpha vs vgt,beta vs vgt
TAN,1825,-0.009158037694986031,1.3973347543996466,1825,-0.05850684120125988,1.0502135954436695
TAO,1825,-0.08517814485030095,0.9355446159014338,1825,-0.109676580343635,0.6730450818711075
TBF,1825,-0.1395392597759201,0.32797722398200924,1825,-0.14334829897395823,0.21911230532343487
TBT,1825,-0.2722894288136311,0.6575576575004838,1825,-0.2795730103814681,0.43805153361734855
TBX,1825,-0.06795979325498523,0.1441669305197163,1825,-0.07078634545162747,0.10037352893947436
TDH,1825,5089.052798134741,-57.34702344982787,1825,5090.597056734078,-41.40625244192273
TDIV,1825,0.003902584494707718,1.0332804351089777,1825,-0.04881473278449982,0.8337641474274758
TDTF,1825,0.0035968177946218865,-0.03481799506532893,1825,0.005048287215972248,-0.026950180395550145
TDTT,1825,-0.0032516974644537164,-0.009917617787290564,1825,-0.0025142720891401394,-0.008818038823813526
TDV,1825,86.97528134998653,11.278138783942758,1825,84.30242523002491,16.49040833913505
TECL,1825,0.19314557425853826,3.363473010335436,1825,-0.01794601001500686,2.8531523762156756
TECS,1825,-0.24861335781272675,-3.3642977748704057,1825,-0.03646563659864274,-2.8573907233509943
TFI,1825,0.017564075835282064,-0.04215014324187888,1825,0.018243587987494883,-0.028828717343578027
THD,1825,-0.09623710178390348,0.8176586493984195,1825,-0.11330174069249203,0.5729210062465984
TILT,1825,-0.006141881166136742,0.9680653757404634,1825,-0.027368430562645076,0.6819127176066182
TIP,1825,0.005583055001988388,-0.05844349123025086,1825,0.007224477001087437,-0.04243624186963381
TIPX,1675,0.002248748165821389,-0.022776534027691225,1675,0.002689952991568027,-0.014411321488118627
TIPZ,1825,0.011393891454054134,-0.06592468524438656,1825,0.013318046445896771,-0.04812424986392287
TLH,1825,0.059338302197597,-0.20210534619495846,1825,0.06236343605195221,-0.13740944316771003
TLT,1825,0.1010592240590638,-0.3342560107224535,1825,0.10465757482912312,-0.22230774536666595
TLTD,1825,-0.08184767288023237,0.8043571740966938,1825,-0.09691683684603142,0.5575482775232372
TLTE,1825,-0.1322166272597962,0.8923148080033598,1825,-0.15647111292593663,0.6450738689599957
TMF,1825,0.3662336002404152,-0.9804712746101647,1825,0.3768380241444085,-0.6522681158585127
TMV,1825,-0.42225981927467116,0.9882950239151462,1825,-0.43361867960589956,0.6598329139561925
TNA,1825,-0.08376390772002383,3.179611204192226,1825,-0.17073409717899718,2.3005252434982677
TOK,1825,-0.01698733494993803,0.7985581705724124,1825,-0.034930548754784935,0.5640375721365055
TQQQ,1825,0.18131742767787964,3.4055244697947593,1825,-0.0045849552556828125,2.790775810844658
TRND,182,-0.048574009475464835,0.9166540744829095,182,-0.09299134592995074,0.6199136194221351
TTT,1825,-0.40586395849704954,1.0011488212660733,1825,-0.4168997506653893,0.666755943332684
TUR,1825,-0.2515229406542084,1.0238259555932094,1825,-0.26861278307192876,0.7023082472312158
TVIX,1825,-0.2862998890985784,-7.866617727330658,1825,-0.09685324756411581,-5.601051267308764
TWM,1825,0.016113420595706262,-2.127708199456994,1825,0.07428827294525328,-1.5393663516912794
TYBS,1825,-0.12119032137291132,0.22879391506635588,1825,-0.12155720790810969,0.1447814401074404
TYD,1825,0.1387792328261876,-0.35179181723735786,1825,0.14684985302842288,-0.24906255237648767
TYO,1825,-0.2128072224812665,0.38849204577919894,1825,-0.21916309076744533,0.2660376145484369
TZA,1825,0.015137617946183122,-3.1768516156268722,1825,0.10185784991905121,-2.297913882589535
UAG,1825,-0.09175072726172323,0.06697980443278473,1825,-0.09428228528777696,0.05092603775292932
UBG,1825,0.0010516104470381586,-0.062247051100106005,1825,0.003926425200242253,-0.04916727585588607
UBR,1825,-0.27436057338318465,2.194306002032117,1825,-0.30526143438709813,1.485038745565395
UBT,1825,0.24020983082573838,-0.6671847685248269,1825,0.2476216430964427,-0.4445410010267767
UCC,1825,0.41603056513589554,0.001345432060603259,1825,0.09546501341022978,1.1434314517480106
UCI,1825,-0.1384540515465857,0.36751346754577646,1825,-0.13847068099726786,0.23054575852251755
UCO,1825,-0.5873228636819368,1.5475463177837843,1825,-0.5759940369089018,0.9306333681871768
